Year,European Union,Latin America & Caribbean,Middle East & North Africa,North America,South Asia,Sub-Saharan Africa
2001,100,92.35087019,91.34997609,100,54.96203656,28.11943236
2002,100,92.645728,91.38023465,100,60.67271573,29.02686865
2003,100,92.76547971,92.39837783,100,62.30056331,31.19763418
2004,100,93.24900691,92.41298773,100,62.53268458,30.79998442
2005,100,93.57878098,93.19349356,100,64.41758755,29.41033865
2006,100,94.2890728,95.64552167,100,65.82615243,32.3706409
2007,100,94.56138257,93.79731093,100,67.26986379,34.17329957
2008,100,95.25249603,94.80680039,100,69.37509629,34.05111591
2009,100,95.43630872,94.89100272,100,72.32064479,33.27438739
2010,100,96.11715379,95.7794586,100,73.19362596,33.66939222
2011,100,96.18682893,95.82597428,100,67.05647917,35.44979022
2012,100,96.55893103,95.40188482,100,77.42161943,37.02745984
2013,100,96.85531932,97.07460883,100,77.78491954,38.08630604
2014,100,97.02997334,96.08407959,100,80.54705924,37.94826919
2015,100,97.29341228,96.53771925,100,84.58633686,38.73415828
2016,99.96019634,97.49233324,96.84848185,100,86.54024658,43.45133769
2017,100,97.72943842,97.68722299,100,89.67897858,43.4238849
2018,100,97.79457458,96.28229095,100,92.36122729,45.83511708
2019,100,98.4242947,97.2325398,100,94.39872919,46.74968559
