country,Year,Flood Deaths Per Year,GDP Yearly Growth,Natural Gas Production
Argentina,1970,0,3.8,5.44M
Argentina,1971,0,2.08,5.17M
Argentina,1972,0,3.79,5.63M
Argentina,1973,0,5.47,6.06M
Argentina,1974,0,-0.619,6.43M
Argentina,1975,0,-0.0192,6.13M
Argentina,1976,2500,6.47,6.33M
Argentina,1977,1600,-3.29,6.53M
Argentina,1978,20k,7.02,6.05M
Argentina,1979,40k,1.53,7.02M
Argentina,1980,0,-5.53,7.3M
Argentina,1981,50k,-3.03,8.19M
Argentina,1982,6.08M,4.26,11M
Argentina,1983,0,2.23,11.3M
Argentina,1984,1.21M,-6.95,11.6M
Argentina,1985,204k,7.47,13M
Argentina,1986,12k,2.76,12.7M
Argentina,1987,4.6M,-1.8,15M
Argentina,1988,0,-7.02,15.9M
Argentina,1989,2020,-1.85,14.9M
Argentina,1990,0,10.8,16.7M
Argentina,1991,88.1k,10,16.8M
Argentina,1992,0,6.04,18M
Argentina,1993,0,6.12,18.6M
Argentina,1994,2500,-2.7,20.9M
Argentina,1995,0,5.76,24.2M
Argentina,1996,12.5k,8.34,22.9M
Argentina,1997,360k,3.99,24.7M
Argentina,1998,0,-3.38,28.9M
Argentina,1999,37.9k,-0.807,31.3M
Argentina,2000,251k,-4.52,31.1M
Argentina,2001,12k,-11.1,30.2M
Argentina,2002,163k,8.76,34.3M
Argentina,2003,6310,8.88,37.5M
Argentina,2004,0,9.08,38.2M
Argentina,2005,4500,8.21,38.5M
Australia,1970,27,4.3,2.22M
Australia,1971,0,2.87,3.19M
Australia,1972,12k,5.66,4.05M
Australia,1973,14,2.46,4.62M
Australia,1974,0,2.9,4.96M
Australia,1975,10k,4.28,5.85M
Australia,1976,0,1.04,6.69M
Australia,1977,7,2.72,7.2M
Australia,1978,0,5.14,8.29M
Australia,1979,0,1.84,9.52M
Australia,1980,2,3.05,10.3M
Australia,1981,0,-0.468,10.1M
Australia,1982,0,0.109,10.9M
Australia,1983,36,7.24,10.8M
Australia,1984,0,5.3,11.5M
Australia,1985,8,2.23,12.6M
Australia,1986,0,5.1,12.8M
Australia,1987,16,4.5,13.2M
Australia,1988,9,4.38,15.2M
Australia,1989,6010,1.52,17.7M
Australia,1990,0,0.184,18.6M
Australia,1991,0,3.55,20.1M
Australia,1992,20.5k,3.84,21M
Australia,1993,0,4.15,24.1M
Australia,1994,0,4.11,25.4M
Australia,1995,13.2k,3.62,25.5M
Australia,1996,400,4.4,25.5M
Australia,1997,15.2k,5.52,26M
Australia,1998,0,4.06,26.4M
Australia,1999,600,2.04,26.8M
Australia,2000,4010,3.91,28.1M
Australia,2001,0,3.31,28.4M
Australia,2002,471,4.33,29M
Australia,2003,3620,2.82,30.9M
Australia,2004,3000,3.7,32.9M
Australia,2005,1100,2.93,35M
Bangladesh,1970,0,-5.54,0
Bangladesh,1971,50,-13,378k
Bangladesh,1972,427,-0.96,523k
Bangladesh,1973,38M,11.1,575k
Bangladesh,1974,0,-1.88,578k
Bangladesh,1975,4M,4.33,761k
Bangladesh,1976,214k,0.404,849k
Bangladesh,1977,400k,7.15,937k
Bangladesh,1978,0,4.7,1.08M
Bangladesh,1979,10M,0.713,1.21M
Bangladesh,1980,0,3.26,1.17M
Bangladesh,1981,308k,1.31,1.52M
Bangladesh,1982,7.16M,5.13,1.69M
Bangladesh,1983,30M,5.81,1.95M
Bangladesh,1984,500k,3.56,2.22M
Bangladesh,1985,400k,5.08,2.5M
Bangladesh,1986,29.7M,4.99,2.94M
Bangladesh,1987,45M,3.67,3.46M
Bangladesh,1988,200k,3.21,3.65M
Bangladesh,1989,2.01M,7.22,3.93M
Bangladesh,1990,2.99M,3.88,4.05M
Bangladesh,1991,75.2k,5.76,4.42M
Bangladesh,1992,15.8M,5.26,4.94M
Bangladesh,1993,395k,4.65,5.24M
Bangladesh,1994,14.7M,5.42,5.8M
Bangladesh,1995,5.83M,5.03,6.22M
Bangladesh,1996,900k,5.68,6.12M
Bangladesh,1997,15M,5.39,6.61M
Bangladesh,1998,496k,4.92,7.21M
Bangladesh,1999,2.68M,5.89,7.79M
Bangladesh,2000,700k,5.12,8.72M
Bangladesh,2001,1.5M,4.15,9.18M
Bangladesh,2002,550k,4.86,9.87M
Bangladesh,2003,36.9M,5.84,10.6M
Bangladesh,2004,1.15M,5.28,11.4M
Bangladesh,2005,212k,6.53,12.4M
Bolivia,1970,0,3.76,36k
Bolivia,1971,0,5.07,960k
Bolivia,1972,0,6.84,1.48M
Bolivia,1973,18k,5.13,1.55M
Bolivia,1974,0,6.59,1.53M
Bolivia,1975,0,7.77,1.57M
Bolivia,1976,90k,4.12,1.66M
Bolivia,1977,178k,3.27,1.64M
Bolivia,1978,0,-0.0381,1.79M
Bolivia,1979,15k,-0.796,2.19M
Bolivia,1980,0,1.22,2.34M
Bolivia,1981,30k,-3.98,2.43M
Bolivia,1982,50.3k,-4.04,2.33M
Bolivia,1983,3000,1.45,2.24M
Bolivia,1984,475,-0.265,2.22M
Bolivia,1985,310k,-2.81,2.26M
Bolivia,1986,20k,2.94,2.37M
Bolivia,1987,0,4,2.5M
