country,Year,natural_gas_production_total,storm_affected_annual_number
Bangladesh,1970,0,163
Bangladesh,1971,378k,25.2k
Bangladesh,1972,523k,51.9k
Bangladesh,1973,575k,2800
Bangladesh,1974,578k,0
Bangladesh,1975,761k,247
Bangladesh,1976,849k,11.2k
Bangladesh,1977,937k,1130
Bangladesh,1978,1.08M,203
Bangladesh,1979,1.21M,1060
Bangladesh,1980,1.17M,2.04M
Bangladesh,1981,1.52M,0
Bangladesh,1982,1.69M,6040
Bangladesh,1983,1.95M,0
Bangladesh,1984,2.22M,1.85M
Bangladesh,1985,2.5M,2.72M
Bangladesh,1986,2.94M,12
Bangladesh,1987,3.46M,10.6M
Bangladesh,1988,3.65M,105k
Bangladesh,1989,3.93M,59.3k
Bangladesh,1990,4.05M,15.6M
Bangladesh,1991,4.42M,10.3k
Bangladesh,1992,4.94M,869k
Bangladesh,1993,5.24M,659k
Bangladesh,1994,5.8M,2.37M
Bangladesh,1995,6.22M,119k
Bangladesh,1996,6.12M,3.8M
Bangladesh,1997,6.61M,231k
Bangladesh,1998,7.21M,102k
Bangladesh,1999,7.79M,147k
Bangladesh,2000,8.72M,29k
Bangladesh,2001,9.18M,102k
Bangladesh,2002,9.87M,480
Bangladesh,2003,10.6M,18.4k
Bangladesh,2004,11.4M,35.8k
Bangladesh,2005,12.4M,18.3k
Canada,1970,50.8M,0
Canada,1971,57.3M,0
Canada,1972,61.4M,0
Canada,1973,60.2M,0
Canada,1974,61.4M,354
Canada,1975,62M,0
Canada,1976,65.1M,0
Canada,1977,62.8M,0
Canada,1978,66.3M,0
Canada,1979,61.2M,0
Canada,1980,59.2M,0
Canada,1981,62.1M,0
Canada,1982,58.4M,0
Canada,1983,64M,0
Canada,1984,69.2M,1310
Canada,1985,64.9M,2400
Canada,1986,70.4M,276
Canada,1987,81.3M,0
Canada,1988,86.4M,0
Canada,1989,88.9M,0
Canada,1990,93.6M,0
Canada,1991,103M,0
Canada,1992,114M,0
Canada,1993,123M,1300
Canada,1994,131M,2
Canada,1995,132M,0
Canada,1996,137M,1
Canada,1997,142M,2030
Canada,1998,147M,4210
Canada,1999,152M,851
Canada,2000,154M,41
Canada,2001,155M,0
Canada,2002,151M,202
Canada,2003,152M,0
Canada,2004,154M,300
Canada,2005,154M,0
China,1970,3.24M,0
China,1971,4.19M,0
China,1972,5.18M,0
China,1973,6.53M,0
China,1974,7.67M,0
China,1975,8.75M,0
China,1976,10.5M,0
China,1977,11.9M,0
China,1978,12.6M,0
China,1979,12.4M,288
China,1980,11M,0
China,1981,10.3M,0
China,1982,10.6M,21.9k
China,1983,10.8M,13
China,1984,11.2M,202k
China,1985,11.9M,4.62M
China,1986,12M,1.39M
China,1987,12.4M,238k
China,1988,13M,38M
China,1989,13.3M,5.9M
China,1990,13.4M,3.36M
China,1991,13.7M,16.2M
China,1992,14.5M,8.65M
China,1993,15.2M,26.1M
China,1994,15.6M,6.57M
China,1995,17.4M,15.3M
China,1996,19.7M,7.27M
China,1997,20.2M,11M
China,1998,21.8M,2.18M
China,1999,23.6M,2.53M
China,2000,26.3M,21.2M
China,2001,28.3M,107M
China,2002,30.3M,9.48M
China,2003,35.9M,9.79M
China,2004,42.7M,40.8M
China,2005,50.7M,55.3M
United Kingdom,1970,15.6M,0
United Kingdom,1971,22.6M,0
United Kingdom,1972,24.5M,0
United Kingdom,1973,29.6M,0
United Kingdom,1974,30.8M,0
United Kingdom,1975,32.6M,0
United Kingdom,1976,34.1M,0
United Kingdom,1977,32.6M,0
United Kingdom,1978,32.9M,0
United Kingdom,1979,31.3M,0
United Kingdom,1980,31.2M,12
United Kingdom,1981,31.8M,0
United Kingdom,1982,32.7M,17
United Kingdom,1983,32M,22
United Kingdom,1984,35.7M,0
United Kingdom,1985,37.5M,0
United Kingdom,1986,39.3M,20
United Kingdom,1987,37.9M,0
United Kingdom,1988,37.1M,13
United Kingdom,1989,40.9M,200k
United Kingdom,1990,45.6M,48
United Kingdom,1991,46.3M,0
United Kingdom,1992,54.5M,0
United Kingdom,1993,58.2M,0
United Kingdom,1994,63.7M,9
United Kingdom,1995,75.7M,12k
United Kingdom,1996,77.3M,0
United Kingdom,1997,81.2M,253k
United Kingdom,1998,89.2M,211
United Kingdom,1999,97.6M,20.1k
United Kingdom,2000,95.3M,0
