country,Year,gdp_total_yearly_growth copy,gdpperemployee_us_inflation_adjusted,gdpperworking_hour_us_inflation_adjusted
Argentina,1990,10.8,16.8k,10.2
Argentina,1991,10,18.5k,11.1
Argentina,1992,6.04,20k,11.7
Argentina,1993,6.12,21.1k,12.4
Argentina,1994,-2.7,21.9k,11.7
Argentina,1995,5.76,22.2k,12.2
Argentina,1996,8.34,22.8k,13.2
Argentina,1997,3.99,22.7k,13.7
Argentina,1998,-3.38,22k,13.2
Argentina,1999,-0.807,21.7k,12.9
Argentina,2000,-4.52,21k,12.2
Barbados,1990,-4.42,33.2k,12.2
Barbados,1991,-7.47,30.7k,12.1
Barbados,1992,0.584,31.1k,12.1
Barbados,1993,3.85,30.7k,11.4
Barbados,1994,2.44,29.6k,11.1
Barbados,1995,2.98,29.1k,10.7
Barbados,1996,4.42,30.3k,10.9
Barbados,1997,6.1,30.5k,11.2
Barbados,1998,0.366,29.9k,10.9
Barbados,1999,2.13,30.7k,10.7
Barbados,2000,-2.75,29.9k,10.2
Canada,1990,-2.04,75.1k,22.1
Canada,1991,0.624,76.6k,22.9
Canada,1992,2.07,78.3k,23
Canada,1993,4.68,80.2k,23.4
Canada,1994,2.57,81k,23.8
Canada,1995,1.34,81.7k,23.8
Canada,1996,4.07,83.5k,24.2
Canada,1997,3.96,84.5k,24.9
Canada,1998,5.35,86.5k,25.4
Canada,1999,5.13,88.9k,25.9
Canada,2000,1.36,89.5k,26.5
Switzerland,1990,-1.06,113k,22.3
Switzerland,1991,0.0513,113k,22.6
Switzerland,1992,-0.00561,114k,22.7
Switzerland,1993,1.28,116k,22.9
Switzerland,1994,0.606,115k,23.3
Switzerland,1995,0.79,115k,23.5
Switzerland,1996,2.15,118k,24.1
Switzerland,1997,3.14,119k,24.4
Switzerland,1998,1.28,120k,24.2
Switzerland,1999,3.56,125k,24.9
Switzerland,2000,1.09,125k,25.3
Germany,1990,5.26,71.6k,22.3
Germany,1991,2.25,74.2k,22.8
Germany,1992,-0.666,75k,23.2
Germany,1993,3.02,77.1k,23.9
Germany,1994,2.13,78.2k,24.5
Germany,1995,1.03,79.4k,25.1
Germany,1996,1.81,81.3k,25.7
Germany,1997,1.84,82.8k,26
Germany,1998,1.94,83.2k,26.4
Germany,1999,3.08,85k,27.1
Germany,2000,1.17,86.2k,27.6
Denmark,1990,1.45,88.9k,24.2
Denmark,1991,2.11,90.5k,24.6
Denmark,1992,0.0877,92.8k,24.9
Denmark,1993,5.74,97.5k,26.6
Denmark,1994,3.09,97.8k,27
Denmark,1995,2.82,100k,27.6
Denmark,1996,3.35,101k,27.8
Denmark,1997,2.35,103k,27.7
Denmark,1998,2.76,105k,27.9
