country,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007
Afghanistan,0,0,250k,0,0,0,80k,0,272k,0,30k,0,0,0,0,0,0,0,161k,0,0,141k,4600,0,0,7530,9930,20.8k,330,500,0,0,5630,3890,4520,18.6k,33.3k,30.6k,1180
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100k,0,0,0,0,0,0,0,0,0,0,79.1k,40k,8,840,334k,10k,225,46.1k,81.4k
Anguilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35k,0,0,3500,0,8000,0,0,0,0,66.9k,0,2500,503,0,0,0
Argentina,36,0,0,0,0,0,0,2500,1600,20k,40k,0,50k,6.08M,0,1.21M,204k,12k,4.6M,0,2020,0,88.1k,0,0,2500,0,12.5k,360k,0,37.9k,251k,12k,163k,6310,0,4500,135k,85k
Armenia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7000,144,0,0,0,0,0,1,0,0,0,0
American Samoa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Australia,0,27,0,12k,14,0,10k,0,7,0,0,2,0,0,36,0,8,0,16,9,6010,0,0,20.5k,0,0,13.2k,400,15.2k,0,600,4010,0,471,3620,3000,1100,5010,4210
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,2,0,3,0,3,0,0,60k,0,0,904,516,0,0
Azerbaijan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.66M,0,75k,0,0,0,0,0,31.5k,0,0,0,0,0
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3610,0,0,0,0,0,0,0,0,0,0,500,0,8000,0,10k,5000,14.8k,25.7k,3280
Belgium,0,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,135,0,0,0,141,0,0,0,2400,0,0,210,0,0,0
