country,Year,gdp_total_yearly_growth copy,gdpperemployee_us_inflation_adjusted,gdpperworking_hour_us_inflation_adjusted
Argentina,1990,10.8,16.8k,10.2
Argentina,1991,10,18.5k,11.1
Argentina,1992,6.04,20k,11.7
Argentina,1993,6.12,21.1k,12.4
Argentina,1994,−2.7,21.9k,11.7
Argentina,1995,5.76,22.2k,12.2
Argentina,1996,8.34,22.8k,13.2
Argentina,1997,3.99,22.7k,13.7
Argentina,1998,−3.38,22k,13.2
Argentina,1999,−0.807,21.7k,12.9
Argentina,2000,−4.52,21k,12.2
Australia,1990,0.184,78.9k,21.0
Australia,1991,3.55,79.6k,21.9
Australia,1992,3.84,82.5k,22.4
Australia,1993,4.15,83.1k,22.7
Australia,1994,4.11,83.3k,22.8
Australia,1995,3.62,85.6k,23.5
Australia,1996,4.4,88.2k,24.3
Australia,1997,5.52,90.5k,25.1
Australia,1998,4.06,93.3k,25.8
Australia,1999,2.04,94.5k,25.4
Australia,2000,3.91,95.3k,26.4
Austria,1990,2.99,76.6k,22.1
Austria,1991,1.88,77k,22.3
Austria,1992,0.193,77.2k,22.5
Austria,1993,2.87,76.3k,23.4
Austria,1994,2.19,78k,24.8
Austria,1995,2.77,81k,25.0
Austria,1996,1.87,82.9k,26.9
Austria,1997,3.54,85.4k,27.7
Austria,1998,3.21,87.1k,28.7
Austria,1999,3.38,89.8k,29.7
Austria,2000,1.01,90.7k,29.8
Belgium,1990,1.75,89.3k,27.2
Belgium,1991,1.4,89.6k,27.9
Belgium,1992,−1.08,89.5k,28.5
Belgium,1993,3.11,92.5k,29.5
Belgium,1994,2.28,93.6k,29.2
Belgium,1995,1.11,95.2k,30.0
Belgium,1996,3.28,97.7k,30.6
Belgium,1997,1.86,99.3k,30.6
Belgium,1998,3.44,99.5k,31.3
Belgium,1999,3.75,99.8k,31.9
Belgium,2000,0.859,103k,31.7
Bulgaria,1990,−7.93,10.4k,8.32
Bulgaria,1991,−7.07,9730,8.6
Bulgaria,1992,−0.149,9780,8.61
Bulgaria,1993,1.67,10k,8.14
Bulgaria,1994,2.96,10k,8.24
Bulgaria,1995,−9.27,10.1k,7.41
Bulgaria,1996,−5.35,10.2k,7.24
Bulgaria,1997,4.36,10.6k,7.54
Bulgaria,1998,2.51,10.5k,7.84
Bulgaria,1999,5.6,11.6k,7.88
Bulgaria,2000,4.41,12.3k,8.2
Brazil,1990,1.11,20.8k,6.79
Brazil,1991,−0.511,20.3k,6.75
Brazil,1992,5.03,20.5k,7.05
Brazil,1993,5.99,21k,7.39
Brazil,1994,4.37,21.3k,7.62
Brazil,1995,2.82,21.4k,8.03
Brazil,1996,3.46,21.7k,8.26
Brazil,1997,0.28,21.4k,8.21
