country,Year,gdp_total_yearly_growth copy,gdpperemployee_us_inflation_adjusted,gdpperworking_hour_us_inflation_adjusted
Argentina,1990,10.8,16.8k,10.2
Argentina,1991,10,18.5k,11.1
Argentina,1992,6.04,20k,11.7
Argentina,1993,6.12,21.1k,12.4
Argentina,1994,-2.7,21.9k,11.7
Argentina,1995,5.76,22.2k,12.2
Argentina,1996,8.34,22.8k,13.2
Argentina,1997,3.99,22.7k,13.7
Argentina,1998,-3.38,22k,13.2
Argentina,1999,-0.807,21.7k,12.9
Argentina,2000,-4.52,21k,12.2
Barbados,1990,-4.42,33.2k,12.2
Barbados,1991,-7.47,30.7k,12.1
Barbados,1992,0.584,31.1k,12.1
Barbados,1993,3.85,30.7k,11.4
Barbados,1994,2.44,29.6k,11.1
Barbados,1995,2.98,29.1k,10.7
Barbados,1996,4.42,30.3k,10.9
Barbados,1997,6.1,30.5k,11.2
Barbados,1998,0.366,29.9k,10.9
Barbados,1999,2.13,30.7k,10.7
Barbados,2000,-2.75,29.9k,10.2
Germany,1990,5.26,71.6k,22.3
Germany,1991,2.25,74.2k,22.8
Germany,1992,-0.666,75k,23.2
Germany,1993,3.02,77.1k,23.9
Germany,1994,2.13,78.2k,24.5
Germany,1995,1.03,79.4k,25.1
Germany,1996,1.81,81.3k,25.7
Germany,1997,1.84,82.8k,26
Germany,1998,1.94,83.2k,26.4
Germany,1999,3.08,85k,27.1
Germany,2000,1.17,86.2k,27.6
Denmark,1990,1.45,88.9k,24.2
Denmark,1991,2.11,90.5k,24.6
Denmark,1992,0.0877,92.8k,24.9
Denmark,1993,5.74,97.5k,26.6
Denmark,1994,3.09,97.8k,27
Denmark,1995,2.82,100k,27.6
Denmark,1996,3.35,101k,27.8
Denmark,1997,2.35,103k,27.7
Denmark,1998,2.76,105k,27.9
Denmark,1999,3.74,109k,28.5
Denmark,2000,0.811,110k,28.4
Spain,1990,2.5,66.9k,20
Spain,1991,0.981,68.5k,20.7
Spain,1992,-0.931,70.8k,21.5
Spain,1993,2.52,73.2k,22.2
Spain,1994,2.89,73.3k,22.2
Spain,1995,2.51,73.5k,22.2
Spain,1996,3.96,73.5k,22.2
Spain,1997,4.68,73.6k,22.1
Spain,1998,5.03,72.5k,21.9
Spain,1999,5.93,72.4k,21.9
Spain,2000,4.7,72.3k,21.9
France,1990,1.13,81.6k,26.8
France,1991,1.59,83.3k,27.4
France,1992,-1.25,83.5k,27.7
France,1993,1.95,86.4k,28.3
France,1994,2.13,86.9k,29.1
France,1995,0.998,87.5k,29.3
France,1996,2.14,89.7k,29.9
France,1997,3.41,91.7k,30.7
France,1998,3.16,93.6k,31.2
France,1999,3.94,94.7k,32.4
